
 epochs   TRAIN_error   TEST_error
    1     0.5834489     0.5867514
    2     0.5834489     0.5867514
    3     0.5783590     0.5885646
    4     0.5772656     0.5875990
    5     0.5750925     0.5854228
    6     0.5750925     0.5854228
    7     0.5750925     0.5854228
    8     0.5750925     0.5854228
    9     0.5750925     0.5854228
   10     0.5750925     0.5854228
   11     0.5750925     0.5854228
   12     0.5750925     0.5854228
   13     0.5750278     0.5853528
   14     0.5750278     0.5853528
   15     0.5750278     0.5853528
   16     0.5750278     0.5853528
   17     0.5750278     0.5853528
   18     0.5750278     0.5853528
   19     0.5750278     0.5853528
   20     0.5750278     0.5853528
   21     0.5750278     0.5853528
   22     0.5750278     0.5853528
   23     0.5750278     0.5853528
   24     0.5750278     0.5853528
   25     0.5750278     0.5853528
   26     0.5750278     0.5853528
   27     0.5750220     0.5853444
   28     0.5750220     0.5853444
   29     0.5750220     0.5853444
   30     0.5750220     0.5853444
   31     0.5750220     0.5853444
   32     0.5750220     0.5853444
   33     0.5750220     0.5853444
   34     0.5750220     0.5853444
   35     0.5750220     0.5853444
   36     0.5750220     0.5853444
   37     0.5750220     0.5853444
   38     0.5750220     0.5853444
   39     0.5750220     0.5853444
   40     0.5750220     0.5853444
   41     0.5750220     0.5853444
   42     0.5750220     0.5853444
   43     0.5750220     0.5853444
   44     0.5750220     0.5853444
   45     0.5750220     0.5853444
   46     0.5750220     0.5853444
   47     0.5750220     0.5853444
   48     0.5750220     0.5853444
   49     0.5750220     0.5853444
   50     0.5750220     0.5853444
   51     0.5750220     0.5853444
   52     0.5750220     0.5853444
   53     0.5750220     0.5853444
   54     0.5750220     0.5853444
   55     0.5750220     0.5853444
   56     0.5750220     0.5853444
   57     0.5750220     0.5853444
   58     0.5750220     0.5853444
   59     0.5750220     0.5853444
   60     0.5750220     0.5853444
   61     0.5750220     0.5853444
   62     0.5750220     0.5853444
   63     0.5750220     0.5853444
   64     0.5750220     0.5853444
   65     0.5750220     0.5853444
   66     0.5750220     0.5853444
   67     0.5750220     0.5853444
   68     0.5750220     0.5853444
   69     0.5750220     0.5853444
   70     0.5750220     0.5853444
   71     0.5750220     0.5853444
   72     0.5750220     0.5853444
   73     0.5750220     0.5853444
   74     0.5750220     0.5853444
   75     0.5750220     0.5853444
   76     0.5750220     0.5853444
   77     0.5750220     0.5853444
   78     0.5750220     0.5853444
   79     0.5750220     0.5853444
   80     0.5750220     0.5853444
   81     0.5750220     0.5853444
   82     0.5750220     0.5853444
   83     0.5750220     0.5853444
   84     0.5750220     0.5853444
   85     0.5750220     0.5853444
   86     0.5750220     0.5853444
   87     0.5750220     0.5853444
   88     0.5750220     0.5853444
   89     0.5750220     0.5853444
   90     0.5750220     0.5853444
   91     0.5750220     0.5853444
   92     0.5750220     0.5853444
   93     0.5750220     0.5853444
   94     0.5750220     0.5853444
   95     0.5750220     0.5853444
   96     0.5750220     0.5853444
   97     0.5750220     0.5853444
   98     0.5750220     0.5853444
   99     0.5750220     0.5853444
  100     0.5750220     0.5853444
TRAIN ERROR =  0.5750220
TEST  ERROR =  0.5853444
VAL   ERROR =  0.5836955
 
